source,target,amount,type
LIST,6G-TWIN,,Coordinator
IMEC,6G-TWIN,,Partner
Ericsson,ROBUST-6G,,Coordinator
Telefónica,ROBUST-6G,,Partner
Thales,ETHER,,Partner
Aalborg Univ,6G-SHINE,,Coordinator
Nokia,6G-SHINE,,Partner
Bosch,6G-SHINE,,Partner
CNIT,6G-SHINE,,Partner
IMEC,6G-SHINE,,Partner
Call 2,6G-BRICKS,,Funds
ISI/Athena,6G-BRICKS,,Coordinator
Iquadrat,6G-BRICKS,,Partner
KU Leuven,6G-BRICKS,,Partner
CEA-Leti,6G-BRICKS,,Partner
Eurecom,6G-BRICKS,,Partner
NI,6G-BRICKS,,Partner
Intracom,6G-BRICKS,,Partner
i2CAT,6G-BRICKS,,Partner
Brainstorm,6G-BRICKS,,Partner
Space Hellas,6G-BRICKS,,Partner
OTE,6G-BRICKS,,Partner
eBOS,6G-BRICKS,,Partner
Lenovo,6G-BRICKS,,Partner
Satways,6G-BRICKS,,Partner
Call 2,6G-INTENSE,,Funds
CTTC,6G-INTENSE,,Coordinator
Nokia,6G-INTENSE,,Partner
Orange,6G-INTENSE,,Partner
Nextworks,6G-INTENSE,,Partner
UGR,6G-INTENSE,,Partner
Nearby,6G-INTENSE,,Partner
Call 1,5G-STARDUST,,Stream A
Call 1,6Green,,Stream A
Call 1,ACROSS,,Stream A
Call 1,BeGREEN,,Stream A
Call 1,NANCY,,Stream A
Call 1,SEASON,,Stream A
Call 1,VERGE-C1,,Stream A
Call 1,6G-NTN,,Stream B
Call 1,6G-SHINE,,Stream B
Call 1,6GTandem,,Stream B
Call 1,ADROIT6G,,Stream B
Call 1,CENTRIC,,Stream B
Call 1,CONFIDENTIAL6G,,Stream B
Call 1,DESIRE6G,,Stream B
Call 1,DETERMINISTIC6G,,Stream B
Call 1,ETHER,,Stream B
Call 1,FLEX-SCALE,,Stream B
Call 1,HORSE,,Stream B
Call 1,PREDICT-6G,,Stream B
Call 1,PRIVATEER,,Stream B
Call 1,RIGOUROUS,,Stream B
Call 1,SUPERIOT,,Stream B
Call 1,TERA6G,,Stream B
Call 1,TERRAMETA,,Stream B
Call 1,TIMES,,Stream B
Call 1,6G-BRICKS,,Stream C
Call 1,6G-SANDBOX,,Stream C
Call 1,6G-XR,,Stream C
Call 1,FIDAL,,Stream D
Call 1,IMAGINE-B5G,,Stream D
Call 1,TARGET-X,,Stream D
Call 1,TrialsNet,,Stream D
CENER,5G-STARDUST,,Coordinator
Martel,5G-STARDUST,,Partner
CNIT,6Green,,Coordinator
UOWM,NANCY,,Coordinator
Technikon,6GTandem,,Coordinator
Technikon,ADROIT6G,,Coordinator
Univ Bologna,CENTRIC,,Coordinator
WINGS ICT,CONFIDENTIAL6G,,Coordinator
Univ Amsterdam,DESIRE6G,,Coordinator
Ericsson,DETERMINISTIC6G,,Coordinator
Ericsson,TrialsNet,,Coordinator
Univ Patras,FLEX-SCALE,,Coordinator
Nokia,Hexa-X-II,,Coordinator
CNIT,HORSE,,Coordinator
UC3M,PREDICT-6G,,Coordinator
UC3M,TERA6G,,Coordinator
Space Hellas,PRIVATEER,,Coordinator
Univ Murcia,RIGOUROUS,,Coordinator
Eurecat,SUPERIOT,,Coordinator
INESC TEC,TERRAMETA,,Coordinator
CNIT,TIMES,,Coordinator
Fraunhofer IPT,TARGET-X,,Coordinator
Keysight,6G-SANDBOX,,Coordinator
ISI/Athena,6G-BRICKS,,Coordinator
Eurescom,SNS OPS,,Coordinator
Eurescom,SNS ICE,,Coordinator
Call 1,5G-EPICENTRE,,Stream A
Call 2,6G-MIRAI,,Funds
Call 2,6G-NTN,,Funds
Call 2,6G-SENSES,,Funds
Call 2,6G-DISCO,,Funds
Call 2,6G-GOALS,,Funds
Call 2,ADROIT6G,,Funds
Call 2,ASSET-6G,,Funds
Call 2,BELIEVE-6G,,Funds
Call 2,COMBO-6G,,Funds
Call 2,DETERMINISTIC6G,,Funds
Call 2,EXIGENCE,,Funds
Call 2,FLEX-SCALE,,Funds
Call 2,HORSE,,Funds
Call 2,INSTINCT,,Funds
Call 2,ORIGAMI,,Funds
Call 2,PREDICT-6G,,Funds
Call 2,TERRAMETA,,Funds
Call 2,TIMES,,Funds
Call 2,VERGE,,Funds
